name,province,city,address,phone_number,website,url
کتابخانه مرکزی پردیس 1 فنی دانشگاه تهران,تهران,تهران,تهران-خیابان انقلاب- خیابان 16 آذر- دانشگاه تهران- پردیس دانشکده های فنی- کتابخانه پردیس مرکزی,61112227، 61112854 ، 61113031 ( داخلی  ),http://ut.ac.ir,https://lib.ir/fa/library/545/کتابخانه-مرکزی-پردیس-1-فنی-دانشگاه-تهران/search/
كتابخانه مركزی حوزه علميه احناف خواف,خراسان رضوی,خواف,خواف – خيابان پيراحمد – كتابخانه حوزه علميه احناف خواف,05154224293 ( داخلی  ),http://sunnatlib.blogfa.com,https://lib.ir/fa/library/778/كتابخانه-مركزی-حوزه-علميه-احناف-خواف/search/
كتابخانه مركزی حوزه های علميه خواهران (کوثر),قم,قم,قم مقدسه - بلوار امين (ص) - ميدان ارتش(ايران مرينوس)- كوچه الغدیر 1 (آتش نشانی) - مركز مديريت حوزه علميه خواهران.,32603373-32144353-025 ( داخلی  ),http://lib.whc.ir,https://lib.ir/fa/library/193/كتابخانه-مركزی-حوزه-های-علميه-خواهران-کوثر/search/
كتابخانه مركزی دارالعلوم زاهدان,سیستان و بلوچستان,زاهدان,زاهدان-خیابان خیام - خیابان توحید - جنب مسجد مكی.,33437740-054 ( داخلی  ),http://ketabmakki.mihanblog.com,https://lib.ir/fa/library/365/كتابخانه-مركزی-دارالعلوم-زاهدان/search/
کتابخانه مرکزی دانشگاه ایلام,ایلام,ايلام,ایلام – بلوار پژوهش –دانشگاه ایلام,08432221937 ( داخلی 238 ),http://Lib.ilam.ac.ir,https://lib.ir/fa/library/278/کتابخانه-مرکزی-دانشگاه-ایلام/search/
كتابخانه مركزی دانشگاه بين المللی امام خمينی (ره) قزوين,قزوین,قزوين,قزوين - بلوار دانشگاه - دانشگاه بين المللي امام خمينى (ره)- ساختمان كتابخانه مركزى.,33780050-028 ( داخلی  ),http://ikiu.ac.ir/farsi/research/library,https://lib.ir/fa/library/221/كتابخانه-مركزی-دانشگاه-بين-المللی-امام-خمينی-ره-قزوين/search/
كتابخانه مركزی دانشگاه حضرت معصومه (س),قم,قم,قم مقدسه - بلوار شهيد خداكرم - روبروي حوزه نظام وظيفه - كوچه 4 - دانشگاه حضرت معصومه (س).,33209030-025 ( داخلی 310 ),http://hmu.ac.ir,https://lib.ir/fa/library/452/كتابخانه-مركزی-دانشگاه-حضرت-معصومه-س/search/
کتابخانه مرکزی دانشگاه دولتی تربت حیدریه,خراسان رضوی,تربت حیدریه,تربت حیدریه - کیلومتر 7 جاده مشهد - دانشگاه دولتی تربت حیدریه.,05152299634 ( داخلی 154 ),http://Lib.torbath.ac.ir,https://lib.ir/fa/library/736/کتابخانه-مرکزی-دانشگاه-دولتی-تربت-حیدریه/search/
كتابخانه مركزی دانشگاه شهركرد,چهار محال و بختیاری,شهر كرد,شهر كرد - كيلومتر 2 جاده سامان- دانشگاه شهر كرد.,32324426-038 ( داخلی  ),http://lib.sku.ac.ir,https://lib.ir/fa/library/267/كتابخانه-مركزی-دانشگاه-شهركرد/search/
کتابخانه مرکزی دانشگاه صنعتی اصفهان,اصفهان,اصفهان,اصفهان - میدان استقلال - خ ازادگان - دانشگاه صنعتی اصفهان، کتابخانه مرکزی,33912520-031 ( داخلی  ),http://lib.iut.ac.ir,https://lib.ir/fa/library/604/کتابخانه-مرکزی-دانشگاه-صنعتی-اصفهان/search/
کتابخانه مرکزی دانشگاه صنعتی امیرکبیر,تهران,تهران,میدان ولیعصر- خیابان حافظ- پلاک ۳۵۰,۶۶۴۰۷۴۱۸(۰۲۱) – ۶۴۵۴۲۳۴۹(۰۲۱) ( داخلی  ),https://library.aut.ac.ir,https://lib.ir/fa/library/597/کتابخانه-مرکزی-دانشگاه-صنعتی-امیرکبیر/search/
کتابخانه مرکزی دانشگاه صنعتی شاهرود,سمنان,شاهرود,شاهرود. بلوار دانشگاه.دانشگاه صنعتی شاهرود. پردیس فناوریهای نوین,32300335-023 ( داخلی 3435 ),https://shahroodut.ac.ir/fa/sec/index.php?id=23,https://lib.ir/fa/library/201/کتابخانه-مرکزی-دانشگاه-صنعتی-شاهرود/search/
كتابخانه مركزی دانشگاه صنعتي شريف,تهران,تهران,تهران - خیابان آزادى - دانشگاه صنعتي شريف.,66005817-021 ( داخلی  ),http://library.sharif.ir,https://lib.ir/fa/library/230/كتابخانه-مركزی-دانشگاه-صنعتي-شريف/search/
کتابخانه مرکزی دانشگاه صنعتی همدان,همدان,همدان,همدان - خیابان شهیید فهمیده - خیابان مردم- دانشگاه صنعتی همدان,38411100-081 ( داخلی 103-104 ),http://hut.ac.ir/?fkeyid=&siteid=1&pageid=162,https://lib.ir/fa/library/603/کتابخانه-مرکزی-دانشگاه-صنعتی-همدان/search/
کتابخانه مرکزی دانشگاه علم و صنعت ایران,تهران,تهران,تهران - ميدان رسالت - خیابان هنگام - خیابان دانشگاه - دانشگاه علم و صنعت ايران.,8-77240540 ( داخلی 2316 - 2376 ),http://dl.iust.ac.ir,https://lib.ir/fa/library/558/کتابخانه-مرکزی-دانشگاه-علم-و-صنعت-ایران/search/
