name,province,city,address,phone_number,website,url
كتابخانه جامع جامعة المصطفی (ص) العالمية,قم,قم,قم مقدسه - بلوار امین (ص) - سه راه سالاریه - مجتمع امین - جامعة العلوم وابسته به جامعه المصطفى (ص).,32133176-025 ( داخلی  ),http://dlib.miu.ac.ir,https://lib.ir/fa/library/195/كتابخانه-جامع-جامعة-المصطفی-ص-العالمية/search/
كتابخانه جامع علوم و معارف قرآن كریم (مؤسسه معارف اسلامی امام رضا (ع)),قم,قم,قم - بلوار شهید محمد منتظری - كوچه شماره 8 - پلاك 12 .,377422010-37740559-025 ( داخلی  ),http://maaref.ir,https://lib.ir/fa/library/455/كتابخانه-جامع-علوم-و-معارف-قرآن-كریم-مؤسسه-معارف-اسلامی-امام-رضا-ع/search/
کتابخانه حضرت زهرا (س) - جامعه المصطفی (ص) العالمیه,قم,قم,پردیسان. بلوار امامت بعد از دانشگاه پیام نور. مجتمع آموزش عالی بنت الهدی،  کد پستی 64462-37166,02537183176-02537183172 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/789/کتابخانه-حضرت-زهرا-س--جامعه-المصطفی-ص-العالمیه/search/
كتابخانه حضرت معصومه (س) جامعه الزهراء (س),قم,قم,قم مقدسه - سه راه سالاریه - خیابان بوعلی سینا - حوزه علمیه خواهران - جامعة الزهراء (س).,32112198-025 ( داخلی  ),http://book.jz.ac.ir/,https://lib.ir/fa/library/379/كتابخانه-حضرت-معصومه-س-جامعه-الزهراء-س/search/
كتابخانه دانشگاه آزاد اسلامی واحد قم,قم,قم,قم پردیسان – بلوار دانشگاه -دانشگاه آزاد اسلامی واحد قم,37780014-025 ( داخلی  ),http://azad-qom.ac.ir,https://lib.ir/fa/library/200/كتابخانه-دانشگاه-آزاد-اسلامی-واحد-قم/search/
كتابخانه دانشگاه باقر العلوم (ع),قم,قم,قم مقدسه - شهرك پردیسان - انتهای بلوار دانشگاه- دانشگاه باقر العلوم علیه السلام.,32136640-025 ( داخلی  ),http://bou.ac.ir,https://lib.ir/fa/library/125/كتابخانه-دانشگاه-باقر-العلوم-ع/search/
كتابخانه دانشگاه فرهنگیان پردیس حضرت معصومه (س) . واحد خواهران قم,قم,قم,قم مقدسه - بلوار شهید كریمی - شهرك امام خمینی (ره) – روبه روی بوستان بنفشه.,32703527-025 ( داخلی  ),http://Mttu.net,https://lib.ir/fa/library/187/كتابخانه-دانشگاه-فرهنگیان-پردیس-حضرت-معصومه-س--واحد-خواهران-قم/search/
كتابخانه دانشگاه مفيد,قم,قم,قم مقدسه - بلوار شهید صدوقی - ميدان مفيد.,32130241-025 ( داخلی  ),http://mofidu.ac.ir,https://lib.ir/fa/library/182/كتابخانه-دانشگاه-مفيد/search/
کتابخانه دانشکدگان فارابی دانشگاه تهران,قم,قم,قم مقدسه - ابتدای جاده قدیم قم-تهران، بعد از ترمینال، دانشکدگان فارابی دانشگاه تهران- کتابخانه,36166323-025 ( داخلی  ),http://farabi.ut.ac.ir,https://lib.ir/fa/library/110/کتابخانه-دانشکدگان-فارابی-دانشگاه-تهران/search/
کتابخانه دیجیتالی (دفتر تبلیغات اسلامی حوزه علمیه قم),قم,قم,قم مقدسه - میدان شهدا – ابتدای خیابان معلم – جنب مرکز همایشهای دفتر تبلیغات - مرکز اطلاعات و مدارک اسلامی.,02531151330 ( داخلی  ),http://dl.islamicdoc.org,https://lib.ir/fa/library/555/کتابخانه-دیجیتالی-دفتر-تبلیغات-اسلامی-حوزه-علمیه-قم/search/
