name,province,city,address,phone_number,website,url
كتابخانه مدرسه علمیه پیروان حضرت زهرا (س),خراسان رضوی,مشهد,مشهد مقدس - خیابان امام رضا علیه السلام- ك 60.,33411210-051 ( داخلی  ),http://peyrovan-zahra.com,https://lib.ir/fa/library/503/كتابخانه-مدرسه-علمیه-پیروان-حضرت-زهرا-س/search/
كتابخانه مدرسه علمیه خواهران رضویه (ع),خراسان رضوی,مشهد,مشهد مقدس - چهارراه شهدا - خیابان شیرازی - کوی 19 - پلاک 19 - مدرسه علمیه رضویه.,05132222844 ( داخلی  ),http://mrazavieh.org,https://lib.ir/fa/library/554/كتابخانه-مدرسه-علمیه-خواهران-رضویه-ع/search/
كتابخانه مدرسه علمیه شهید آیت الله صدوقی,خراسان رضوی,مشهد,مشهد مقدس - میدان شهدا – خیابان آیت الله عبادی – بین عبادی 6 و 8 – مدرسه علمیه آیت الله شهید صدوقی,37251196-051 ( داخلی  ),http://,https://lib.ir/fa/library/777/كتابخانه-مدرسه-علمیه-شهید-آیت-الله-صدوقی/search/
کتابخانه مدرسه علمیه عالی نواب,خراسان رضوی,مشهد,خراسان رضوی - مشهد - حرم مطهر، اول خیابان شیرازی مدرسه علمیه عالی نواب,05132259559 ( داخلی 229 ),http://h-navvab.ir,https://lib.ir/fa/library/444/کتابخانه-مدرسه-علمیه-عالی-نواب/search/
كتابخانه مدرسه علمیه نرجس,خراسان رضوی,مشهد,مشهد مقدس - انتهاي خيابان دانش غربي - مدرسه علميه نرجس.,38544677-38595040-051 ( داخلی  ),http://m-narjes.com,https://lib.ir/fa/library/340/كتابخانه-مدرسه-علمیه-نرجس/search/
كتابخانه مركز آموزش عالی ثامن الحجج (ع),خراسان رضوی,مشهد,مشهد مقدس- بلوار دانشجو - نبش دانشجوی 33 - مركز آموزش عالی ثامن الحجج (ع),38924330-051 ( داخلی  ),http://samen.te.cfu.ac.ir,https://lib.ir/fa/library/495/كتابخانه-مركز-آموزش-عالی-ثامن-الحجج-ع/search/
کتابخانه مرکزی آستان قدس رضوی,خراسان رضوی,مشهد,حرم مطهر ، بست شیخ طوسی کتابخانه مرکزی,05132210018 ( داخلی 3370 ),http://www.razavi.aqr.ir,https://lib.ir/fa/library/122/کتابخانه-مرکزی-آستان-قدس-رضوی/search/
كتابخانه مركزی آستان قدس رضوی (ع) - تالار جوانان پسر,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسی - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوی (ع).,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/128/كتابخانه-مركزی-آستان-قدس-رضوی-ع--تالار-جوانان-پسر/search/
كتابخانه مركزی آستان قدس رضوی (ع) - تالار جوانان دختر,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسی - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوی (ع).,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/127/كتابخانه-مركزی-آستان-قدس-رضوی-ع--تالار-جوانان-دختر/search/
كتابخانه مركزی آستان قدس رضوی (ع) - تالار قفسه باز آقايان,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسي - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوي (ع).,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/130/كتابخانه-مركزی-آستان-قدس-رضوی-ع--تالار-قفسه-باز-آقايان/search/
كتابخانه مركزی آستان قدس رضوی (ع) - تالار قفسه باز بانوان,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسي - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوي (ع).,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/131/كتابخانه-مركزی-آستان-قدس-رضوی-ع--تالار-قفسه-باز-بانوان/search/
كتابخانه مركزی آستان قدس رضوی (ع) - تالار نوجوان پسر,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسي - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوى.,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/134/كتابخانه-مركزی-آستان-قدس-رضوی-ع--تالار-نوجوان-پسر/search/
كتابخانه مركزی آستان قدس رضوی (ع) - تالار نوجوان دختر,خراسان رضوی,مشهد,مشهد مقدس - حرم مطهر امام رضا علیه السلام - بست شيخ طوسي - سازمان كتابخانه ها، موزه ها و مركز اسناد آستان قدس رضوى (ع).,8-32232004-051 ( داخلی  ),http://aqlibrary.org/about/centerlib.aspx,https://lib.ir/fa/library/135/كتابخانه-مركزی-آستان-قدس-رضوی-ع--تالار-نوجوان-دختر/search/
